id,category,subcategory,noun,description
n-eclairs,Food & Drink,Sweets & Desserts,Eclairs,Oblong choux pastry filled with cream and topped with chocolate.
n-donut,Food & Drink,Sweets & Desserts,Donut,Fried dough confection usually shaped like a ring or ball.
n-espresso,Food & Drink,Beverages,Espresso,"Highly concentrated coffee served in small, potent shots."
n-lemonade,Food & Drink,Beverages,Lemonade,"Refreshing drink made from lemon juice, sugar, and water."
n-root_beer,Food & Drink,Beverages,Root Beer,Sweet North American beverage flavored with sassafras root bark.
n-green_tea,Food & Drink,Beverages,Green Tea,"Tea made from unoxidized leaves, known for health benefits."
n-milkshake,Food & Drink,Beverages,Milkshake,"Cold, thick beverage made from blended milk and ice cream."
n-champagne,Food & Drink,Beverages,Champagne,"Sparkling wine from France, often used for celebratory toasts."
n-coconut_water,Food & Drink,Beverages,Coconut Water,"Clear liquid found inside young, green, tropical coconuts."
n-hot_cocoa,Food & Drink,Beverages,Hot Cocoa,"Warm, sweet drink made from cocoa powder and milk."
n-kombucha,Food & Drink,Beverages,Kombucha,"Fermented, lightly effervescent sweetened black or green tea drink."
n-tomato_juice,Food & Drink,Beverages,Tomato Juice,"Savory juice made from pressed tomatoes, used in cocktails."
n-ginger_ale,Food & Drink,Beverages,Ginger Ale,Carbonated soft drink flavored with the pungent ginger root.
n-iced_coffee,Food & Drink,Beverages,Iced Coffee,Chilled coffee beverage served over ice with milk or syrup.
n-smoothie,Food & Drink,Beverages,Smoothie,Thick drink made from blended raw fruit and vegetables.
n-chai_latte,Food & Drink,Beverages,Chai Latte,Spiced black tea mixed with steamed milk and foam.
n-sparkling_water,Food & Drink,Beverages,Sparkling Water,"Water containing dissolved carbon dioxide gas, making it bubbly."
n-apple_cider,Food & Drink,Beverages,Apple Cider,"Unfiltered, unsweetened beverage made from the pressing of apples."
n-eggnog,Food & Drink,Beverages,Eggnog,"Rich, chilled dairy drink made with milk, cream, and eggs."
n-peppermint_tea,Food & Drink,Beverages,Peppermint Tea,Caffeine-free herbal infusion made from peppermint plant leaves.
n-shirley_temple,Food & Drink,Beverages,Shirley Temple,Famous non-alcoholic cocktail made with ginger ale and grenadine.
n-slushie,Food & Drink,Beverages,Slushie,"Frozen, flavored icy drink typically served in a cup."
n-avocado,Food & Drink,Fruits & Vegetables,Avocado,Creamy green fruit often used in salads or as guacamole.
n-dragon_fruit,Food & Drink,Fruits & Vegetables,Dragon Fruit,Tropical fruit with vibrant pink skin and speckled white flesh.
n-asparagus,Food & Drink,Fruits & Vegetables,Asparagus,"Long, green, spear-like vegetable often grilled or steamed."
n-pomegranate,Food & Drink,Fruits & Vegetables,Pomegranate,"Fruit containing hundreds of juicy, red, edible seeds called arils."
n-broccoli,Food & Drink,Fruits & Vegetables,Broccoli,Edible green plant with a large flowering head and stalk.
n-mango,Food & Drink,Fruits & Vegetables,Mango,"Sweet, tropical stone fruit with juicy orange-yellow flesh."
n-brussels_sprouts,Food & Drink,Fruits & Vegetables,Brussels Sprouts,"Small, leafy green buds that look like miniature cabbages."
n-kiwi,Food & Drink,Fruits & Vegetables,Kiwi,Small fruit with fuzzy brown skin and bright green interior.
n-eggplant,Food & Drink,Fruits & Vegetables,Eggplant,"Large, purple-skinned vegetable commonly used in Mediterranean cooking."
n-artichoke,Food & Drink,Fruits & Vegetables,Artichoke,Thistle-like plant where the heart and leaves are eaten.
n-blueberries,Food & Drink,Fruits & Vegetables,Blueberries,"Small, round, indigo-colored berries that are sweet and tart."
n-kale,Food & Drink,Fruits & Vegetables,Kale,Leafy green vegetable known for its high nutritional value.
n-pineapple,Food & Drink,Fruits & Vegetables,Pineapple,"Large tropical fruit with a tough, spiky outer shell."
n-jalapeño,Food & Drink,Fruits & Vegetables,Jalapeño,Medium-sized chili pepper known for its moderate spicy heat.
n-watermelon,Food & Drink,Fruits & Vegetables,Watermelon,"Large, refreshing summer fruit with red flesh and seeds."
n-garlic,Food & Drink,Fruits & Vegetables,Garlic,Pungent bulb used globally as a seasoning in cooking.
n-pumpkin,Food & Drink,Fruits & Vegetables,Pumpkin,"Large, orange squash commonly carved during Halloween festivities."
n-starfruit,Food & Drink,Fruits & Vegetables,Starfruit,Tropical fruit that looks like a five-pointed star when sliced.
n-spinach,Food & Drink,Fruits & Vegetables,Spinach,Leafy green plant often eaten raw in salads or cooked.
n-fig,Food & Drink,Fruits & Vegetables,Fig,"Sweet, teardrop-shaped fruit with a soft, chewy texture."
n-the_great_wall_of_china,Places & Nature,World Landmarks,The Great Wall of China,Massive ancient stone fortification stretching across Northern China.
n-eiffel_tower,Places & Nature,World Landmarks,Eiffel Tower,Iconic iron lattice tower located on the Champ de Mars.
n-machu_picchu,Places & Nature,World Landmarks,Machu Picchu,15th-century Inca citadel located in the Andes Mountains.
n-grand_canyon,Places & Nature,World Landmarks,Grand Canyon,Steep-sided canyon carved by the Colorado River in Arizona.
n-statue_of_liberty,Places & Nature,World Landmarks,Statue of Liberty,Colossal copper statue on Liberty Island in New York Harbor.
n-colosseum,Places & Nature,World Landmarks,Colosseum,"Oval amphitheatre in Rome, the largest ever built."
n-taj_mahal,Places & Nature,World Landmarks,Taj Mahal,Ivory-white marble mausoleum on the bank of the Yamuna.
n-stonehenge,Places & Nature,World Landmarks,Stonehenge,Prehistoric monument in England consisting of a ring of standing stones.
n-mount_everest,Places & Nature,World Landmarks,Mount Everest,"Earth's highest mountain above sea level, located in the Himalayas."
n-great_pyramid_of_giza,Places & Nature,World Landmarks,Great Pyramid of Giza,"Oldest and largest of the three pyramids in Giza, Egypt."
n-sydney_opera_house,Places & Nature,World Landmarks,Sydney Opera House,"Multi-venue performing arts centre in Sydney, Australia."
n-niagara_falls,Places & Nature,World Landmarks,Niagara Falls,Group of three massive waterfalls at the US-Canada border.
n-mount_fuji,Places & Nature,World Landmarks,Mount Fuji,Active stratovolcano and highest mountain peak in Japan.
n-the_louvre,Places & Nature,World Landmarks,The Louvre,World's largest art museum and a historic monument in Paris.
n-victoria_falls,Places & Nature,World Landmarks,Victoria Falls,Massive waterfall on the Zambezi River in southern Africa.
n-golden_gate_bridge,Places & Nature,World Landmarks,Golden Gate Bridge,Famous orange suspension bridge spanning the San Francisco Bay.
n-petra,Places & Nature,World Landmarks,Petra,"Historic and archaeological city in southern Jordan, carved into rock."
n-the_parthenon,Places & Nature,World Landmarks,The Parthenon,Former temple on the Athenian Acropolis dedicated to Athena.
n-big_ben,Places & Nature,World Landmarks,Big Ben,Nickname for the Great Bell of the clock in London.
n-amazon_rainforest,Places & Nature,World Landmarks,Amazon Rainforest,Moist broadleaf tropical rainforest covering much of South America.
n-sahara_desert,Places & Nature,Geography & Habitats,Sahara Desert,"The largest hot desert in the world, covering North Africa."
n-coral_reef,Places & Nature,Geography & Habitats,Coral Reef,Underwater ecosystem characterized by reef-building corals.
n-salt_flats,Places & Nature,Geography & Habitats,Salt Flats,Flat expanse of ground covered with salt and other minerals.
n-glacier,Places & Nature,Geography & Habitats,Glacier,Persistent body of dense ice that is constantly moving.
n-volcano,Places & Nature,Geography & Habitats,Volcano,Rupture in the crust of a planetary-mass object.
n-swamp,Places & Nature,Geography & Habitats,Swamp,Forested wetland often found near large lakes or rivers.
n-redwood_forest,Places & Nature,Geography & Habitats,Redwood Forest,Dense woodland featuring some of the world's tallest trees.
n-cave,Places & Nature,Geography & Habitats,Cave,Natural underground space large enough for a human to enter.
n-island,Places & Nature,Geography & Habitats,Island,Any piece of sub-continental land that is surrounded by water.
n-tundra,Places & Nature,Geography & Habitats,Tundra,"Vast, flat, treeless Arctic region where the subsoil is frozen."
n-valley,Places & Nature,Geography & Habitats,Valley,"Low area between hills or mountains, often with a river."
n-savanna,Places & Nature,Geography & Habitats,Savanna,Grassy plain in tropical and subtropical regions with few trees.
n-fjord,Places & Nature,Geography & Habitats,Fjord,"Long, narrow, deep inlet of the sea between high cliffs."
n-canyon,Places & Nature,Geography & Habitats,Canyon,"Deep gorge, typically one with a river flowing through it."
n-peninsula,Places & Nature,Geography & Habitats,Peninsula,Piece of land almost surrounded by water or projecting out.
n-meadow,Places & Nature,Geography & Habitats,Meadow,Field of habitat with vegetation mainly consisting of grasses.
n-oasis,Places & Nature,Geography & Habitats,Oasis,Fertile spot in a desert where water is found.
n-archipelago,Places & Nature,Geography & Habitats,Archipelago,Large group or chain of many islands in a sea.
n-waterfall,Places & Nature,Geography & Habitats,Waterfall,Point in a river where water flows over a precipice.
n-delta,Places & Nature,Geography & Habitats,Delta,Landform created by deposition of sediment at a river mouth.
n-attic,Places & Nature,Rooms & Buildings,Attic,Space or room just below the roof of a house.
n-library,Places & Nature,Rooms & Buildings,Library,Building or room containing collections of books and periodicals.
n-treehouse,Places & Nature,Rooms & Buildings,Treehouse,Structure built among the branches of a mature tree.
n-castle,Places & Nature,Rooms & Buildings,Castle,"Large building, typically of the medieval period, fortified against attack."
n-greenhouse,Places & Nature,Rooms & Buildings,Greenhouse,Glass building in which plants are grown that need protection.
n-dungeon,Places & Nature,Rooms & Buildings,Dungeon,"Strong underground prison cell, especially in a medieval castle."
n-skyscraper,Places & Nature,Rooms & Buildings,Skyscraper,Very tall continuously habitable building having many floors.
n-lighthouse,Places & Nature,Rooms & Buildings,Lighthouse,Tower with a bright light to guide ships at sea.
n-cathedral,Places & Nature,Rooms & Buildings,Cathedral,"Principal church of a diocese, with which the bishop is associated."
n-observatory,Places & Nature,Rooms & Buildings,Observatory,Room or building with a telescope for observing the stars.
n-barn,Places & Nature,Rooms & Buildings,Barn,Large farm building used for storing grain or housing livestock.
n-bungalow,Places & Nature,Rooms & Buildings,Bungalow,"Low house, with a broad front porch, having no upper floor."
n-cinema,Places & Nature,Rooms & Buildings,Cinema,Theater where movies are shown for public entertainment.
n-museum,Places & Nature,Rooms & Buildings,Museum,Building in which objects of interest are stored and exhibited.
n-penthouse,Places & Nature,Rooms & Buildings,Penthouse,Expensive apartment on the top floor of a tall building.
n-laboratory,Places & Nature,Rooms & Buildings,Laboratory,Room or building equipped for scientific experiments or research.
n-windmill,Places & Nature,Rooms & Buildings,Windmill,Structure that converts wind power into energy using vanes.
n-cabin,Places & Nature,Rooms & Buildings,Cabin,Small wooden shelter or house in a remote area.
n-stadium,Places & Nature,Rooms & Buildings,Stadium,Large building with tiers of seats for sporting events.
n-basement,Places & Nature,Rooms & Buildings,Basement,The floor of a building which is partly or entirely underground.
n-the_moon,Places & Nature,Astronomy & Space,The Moon,"Earth's only natural satellite, which reflects light from the sun."
n-mars,Places & Nature,Astronomy & Space,Mars,"The fourth planet from the Sun, often called the Red Planet."
n-black_hole,Places & Nature,Astronomy & Space,Black Hole,Region of spacetime where gravity is so strong nothing escapes.
n-milky_way,Places & Nature,Astronomy & Space,Milky Way,The galaxy that contains our own Solar System.
n-supernova,Places & Nature,Astronomy & Space,Supernova,Powerful and luminous stellar explosion of a dying star.
n-space_station,Places & Nature,Astronomy & Space,Space Station,Large spacecraft in orbit where astronauts live and work.
n-saturn’s_rings,Places & Nature,Astronomy & Space,Saturn’s Rings,Enormous system of ice and dust orbiting a gas giant.
n-comet,Places & Nature,Astronomy & Space,Comet,"Icy, small Solar System body that displays a visible tail."
n-asteroid_belt,Places & Nature,Astronomy & Space,Asteroid Belt,Region between Mars and Jupiter with many irregular rocky bodies.
n-hubble_telescope,Places & Nature,Astronomy & Space,Hubble Telescope,Large space telescope that takes high-resolution images of space.
n-solar_flare,Places & Nature,Astronomy & Space,Solar Flare,Sudden flash of increased brightness on the Sun's surface.
n-nebula,Places & Nature,Astronomy & Space,Nebula,Enormous cloud of dust and gas occupying space between stars.
