id,category_id,adjective,description
a-spontaneous,ac-time_frequency,Spontaneous,Performed as a result of a sudden impulse.
a-rapid,ac-time_frequency,Rapid,Happening in a short time or at great speed.
a-timeless,ac-time_frequency,Timeless,Not affected by the passage of time.
a-atomic,ac-scientific_technical,Atomic,Relating to atoms; of devastating power.
a-magnetic,ac-scientific_technical,Magnetic,Having the power to attract; also used for charisma.
a-synthetic,ac-scientific_technical,Synthetic,Made by chemical synthesis to imitate a natural product.
a-radioactive,ac-scientific_technical,Radioactive,Emitting radiation; potentially dangerous and glowing.
a-symmetrical,ac-scientific_technical,Symmetrical,Made up of exactly similar parts facing each other.
a-volatile,ac-scientific_technical,Volatile,Liable to change rapidly and unpredictably.
a-inert,ac-scientific_technical,Inert,Lacking the ability or strength to move.
a-opaque,ac-scientific_technical,Opaque,Not able to be seen through; not transparent.
a-hydrated,ac-scientific_technical,Hydrated,Containing adequate water; refreshed.
a-anatomical,ac-scientific_technical,Anatomical,Relating to bodily structure.
a-spicy,ac-random_fun,Spicy,Having a strong hot flavor; also scandalous.
a-caffeinated,ac-random_fun,Caffeinated,High-energy; jittery and alert.
a-cursed,ac-random_fun,Cursed,Under a spell or doomed to have bad luck.
a-magical,ac-random_fun,Magical,Seems supernatural; beautiful or delightful.
a-soggy,ac-random_fun,Soggy,Saturated with liquid; soft and watery.
a-sparkly,ac-random_fun,Sparkly,Shining with bright points of light.
a-dramatic,ac-random_fun,Dramatic,Striking in appearance or effect; exaggerated.
a-anonymous,ac-random_fun,Anonymous,Having no outstanding individual or unusual features.
a-fuzzy,ac-random_fun,Fuzzy,Having a frizzy fluffy or frayed texture.
a-bizarre,ac-random_fun,Bizarre,Very strange or unusual.
