Category,SubCategory,Noun,Description
People & Characters,Modern Celebrities,Gordon Ramsay,Hot-tempered British celebrity chef and television personality.
People & Characters,Modern Celebrities,Adele,Soulful British singer known for her powerful voice and ballads.
People & Characters,Modern Celebrities,Stephen Curry,Basketball star credited with revolutionizing the game with three-pointers.
People & Characters,Modern Celebrities,Dolly Parton,"Country music legend, songwriter, and beloved cultural icon."
People & Characters,Modern Celebrities,Bill Gates,Microsoft co-founder turned global philanthropist and public health advocate.
People & Characters,Modern Celebrities,Meryl Streep,Highly decorated actress known for her incredible range and accents.
People & Characters,Modern Celebrities,Jackie Chan,Martial arts master and actor famous for doing his own stunts.
,,,
People & Characters,Occupations,Astronaut,A person trained to travel and work in outer space.
People & Characters,Occupations,Librarian,A professional who manages collections of books and information.
People & Characters,Occupations,Firefighter,A rescuer extensively trained to extinguish hazardous fires.
People & Characters,Occupations,Surgeon,A medical doctor who performs operations on patients.
People & Characters,Occupations,Detective,An investigator who gathers clues to solve crimes.
People & Characters,Occupations,Blacksmith,A person who creates objects from wrought iron or steel.
People & Characters,Occupations,Pilot,A person who operates the flying controls of an aircraft.
People & Characters,Occupations,Chef,A professional cook who oversees a kitchen and menus.
People & Characters,Occupations,Archeologist,A scientist who studies history through excavating sites.
People & Characters,Occupations,Judge,A public officer appointed to decide cases in court.
People & Characters,Occupations,Ballerina,A female dancer who performs in technical ballet art.
People & Characters,Occupations,Journalist,A person who writes for newspapers or news websites.
People & Characters,Occupations,Architect,A person who designs buildings and supervises construction.
People & Characters,Occupations,Park Ranger,A person entrusted with protecting and preserving parklands.
People & Characters,Occupations,Plumber,A person who installs and repairs water system pipes.
People & Characters,Occupations,Sculptor,An artist who creates 3D forms from stone or metal.
People & Characters,Occupations,Midwife,A professional who assists women in childbirth and care.
People & Characters,Occupations,Software Engineer,A person who develops computer software using engineering.
People & Characters,Occupations,Farmer,A person who manages a farm and grows crops.
People & Characters,Occupations,Stunt Double,A person who replaces an actor for dangerous scenes.
,,,
People & Characters,Mythical Beings,Bigfoot,"A large, hairy creature said to inhabit North American forests."
People & Characters,Mythical Beings,Medusa,A gorgon with snakes for hair who turns people to stone.
People & Characters,Mythical Beings,Phoenix,A mythical bird that cyclically regenerates from its own ashes.
People & Characters,Mythical Beings,Leprechaun,A type of Irish fairy who hides pots of gold.
People & Characters,Mythical Beings,Zeus,The king of gods and the god of thunder.
People & Characters,Mythical Beings,Mermaid,A sea creature with a human torso and fish tail.
People & Characters,Mythical Beings,Centaur,A creature with a human upper body and horse lower body.
People & Characters,Mythical Beings,Dragon,"A large, serpent-like legendary creature that often breathes fire."
People & Characters,Mythical Beings,Pegasus,"A mythical winged horse, usually depicted as pure white."
People & Characters,Mythical Beings,Cupid,"The Roman god of desire, love, and attraction."
People & Characters,Mythical Beings,Banshee,A female spirit whose wailing warns of a death.
People & Characters,Mythical Beings,Minotaur,A creature with a bull's head and a man's body.
People & Characters,Mythical Beings,Sphinx,A mythical creature with a human head and lion body.
People & Characters,Mythical Beings,Thor,The hammer-wielding Norse god of lightning and strength.
People & Characters,Mythical Beings,Anubis,The ancient Egyptian god of the dead and mummification.
People & Characters,Mythical Beings,Kraken,A legendary sea monster of giant size and appearance.
People & Characters,Mythical Beings,Valkyrie,A female figure who chooses who dies in battle.
People & Characters,Mythical Beings,Cyclops,A member of a race of giants with one eye.
People & Characters,Mythical Beings,Gnome,A diminutive spirit often guarding mines or gardens.
People & Characters,Mythical Beings,Unicorn,A legendary creature described as a horse with one horn.
,,,
Food & Drink,Classic Snacks,Popcorn,Kernels of corn that puff up when heated with steam.
Food & Drink,Classic Snacks,Potato Chips,Thinly sliced potatoes that are deep fried until crunchy.
Food & Drink,Classic Snacks,Pretzels,Baked dough twisted into a knot and sprinkled with salt.
Food & Drink,Classic Snacks,Beef Jerky,"Lean meat that has been trimmed, salted, and dried."
Food & Drink,Classic Snacks,Gummy Bears,"Small, fruit-flavored gelatin candies shaped like stylized bears."
Food & Drink,Classic Snacks,Cheese Crackers,"Crunchy, baked snacks flavored with real or artificial cheese."
Food & Drink,Classic Snacks,Granola Bars,"Pressed bars made of oats, honey, and dried fruit."
Food & Drink,Classic Snacks,Trail Mix,"A blend of nuts, seeds, and chocolate for hiking."
Food & Drink,Classic Snacks,Sunflower Seeds,Small seeds harvested from the center of a large flower.
Food & Drink,Classic Snacks,Fruit Leather,"Flattened, dried fruit puree with a chewy, gummy texture."
Food & Drink,Classic Snacks,Nachos,Tortilla chips covered in melted cheese and various toppings.
Food & Drink,Classic Snacks,Pringles,Uniformly shaped potato crisps sold in a tall canister.
Food & Drink,Classic Snacks,Oreos,Chocolate sandwich cookies with a sweet cream filling inside.
Food & Drink,Classic Snacks,Pickles,Cucumbers that have been preserved in vinegar or brine.
Food & Drink,Classic Snacks,Rice Cakes,"Puffed rice pressed together into a circular, crunchy disk."
Food & Drink,Classic Snacks,String Cheese,"Mozzarella cheese pulled into long, snackable fibers or strings."
Food & Drink,Classic Snacks,Wasabi Peas,"Dried peas coated in a spicy, pungent green horseradish."
Food & Drink,Classic Snacks,Corn Nuts,Toasted or deep-fried kernels of large-sized Peruvian corn.
Food & Drink,Classic Snacks,Pop-Tarts,Toaster pastries with a sweet filling and frosted top.
Food & Drink,Classic Snacks,Goldfish Crackers,"Small, fish-shaped cheese crackers that ""smile back"" at you."
,,,
Food & Drink,Main Courses,Pepperoni Pizza,"Flatbread topped with tomato sauce, cheese, and spicy sausage."
Food & Drink,Main Courses,Spaghetti Bolognese,"Long pasta noodles served with a thick, meaty tomato sauce."
Food & Drink,Main Courses,Sushi,Japanese dish featuring vinegared rice and raw fish or vegetables.
Food & Drink,Main Courses,Tacos,Tortillas folded around fillings like seasoned meat and salsa.
Food & Drink,Main Courses,Roast Turkey,Large poultry bird typically served at festive holiday dinners.
Food & Drink,Main Courses,Cheeseburger,A beef patty topped with melted cheese on a bun.
Food & Drink,Main Courses,Pad Thai,"Stir-fried rice noodles with shrimp, peanuts, and lime."
Food & Drink,Main Courses,Lasagna,"Layers of wide pasta, ricotta cheese, and savory meat sauce."
Food & Drink,Main Courses,Fish and Chips,"Battered, fried fish served with thick-cut fried potatoes."
Food & Drink,Main Courses,Chicken Tikka Masala,"Roasted chicken chunks in a spicy, creamy orange sauce."
Food & Drink,Main Courses,Beef Stroganoff,Sautéed beef pieces served in a sauce with sour cream.
Food & Drink,Main Courses,Lobster Thermidor,"Cooked lobster meat in a creamy wine sauce, stuffed back."
Food & Drink,Main Courses,Dim Sum,Small Chinese dishes served in steaming bamboo baskets.
Food & Drink,Main Courses,Ramen,"Japanese noodle soup served in a rich, flavorful broth."
Food & Drink,Main Courses,Enchiladas,Corn tortillas rolled around filling and covered in chili sauce.
Food & Drink,Main Courses,Steak Frites,A classic dish of grilled steak served with French fries.
Food & Drink,Main Courses,Falafel Wrap,Deep-fried chickpea balls wrapped in pita with vegetables.
Food & Drink,Main Courses,Paella,"Spanish rice dish with saffron, vegetables, and various seafood."
Food & Drink,Main Courses,Peking Duck,"Famous Chinese dish featuring thin, crispy roasted duck skin."
Food & Drink,Main Courses,Chili Con Carne,"Spicy stew containing chili peppers, meat, and often beans."
,,,
Food & Drink,Sweets & Desserts,Cheesecake,"Rich dessert with a thick layer of soft, sweetened cheese."
Food & Drink,Sweets & Desserts,Apple Pie,Classic fruit pie with a flaky crust and cinnamon.
Food & Drink,Sweets & Desserts,Crème Brûlée,Rich custard topped with a layer of hardened caramelized sugar.
Food & Drink,Sweets & Desserts,Chocolate Truffles,Confections made with a chocolate ganache center and coating.
Food & Drink,Sweets & Desserts,Cotton Candy,Spun sugar that looks like fluffy clouds on a stick.
Food & Drink,Sweets & Desserts,Baklava,"Layered pastry dessert made of filo, nuts, and honey."
Food & Drink,Sweets & Desserts,Tiramisu,Coffee-flavored Italian dessert with ladyfingers and mascarpone cheese.
Food & Drink,Sweets & Desserts,Churros,Fried dough pastries dusted in sugar and often cinnamon.
Food & Drink,Sweets & Desserts,Macarons,Delicate French almond meringue cookies with a creamy filling.
Food & Drink,Sweets & Desserts,Banana Split,Ice cream dessert served with a sliced banana and toppings.
Food & Drink,Sweets & Desserts,Red Velvet Cake,Crimson-colored chocolate cake with a tangy cream cheese frosting.
Food & Drink,Sweets & Desserts,Gelato,Italian-style frozen dessert that is denser than ice cream.
Food & Drink,Sweets & Desserts,Brownies,"Square, baked chocolate treats with a fudgy or cakey texture."
Food & Drink,Sweets & Desserts,Marshmallows,"Soft, spongy sugar-based confections often roasted over a fire."
Food & Drink,Sweets & Desserts,Meringue,"Light, airy dessert made from whipped egg whites and sugar."
Food & Drink,Sweets & Desserts,Cannoli,Tube-shaped Italian pastry shells filled with sweet ricotta cream.
Food & Drink,Sweets & Desserts,Sorbet,Frozen dessert made from sweetened water and fruit puree.
Food & Drink,Sweets & Desserts,Fudge,A type of sugar candy made by mixing butter and milk.
Food & Drink,Sweets & Desserts,Eclairs,Oblong choux pastry filled with cream and topped with chocolate.
Food & Drink,Sweets & Desserts,Donut,Fried dough confection usually shaped like a ring or ball.
,,,
Food & Drink,Beverages,Espresso,"Highly concentrated coffee served in small, potent shots."
Food & Drink,Beverages,Lemonade,"Refreshing drink made from lemon juice, sugar, and water."
Food & Drink,Beverages,Root Beer,Sweet North American beverage flavored with sassafras root bark.
Food & Drink,Beverages,Green Tea,"Tea made from unoxidized leaves, known for health benefits."
Food & Drink,Beverages,Milkshake,"Cold, thick beverage made from blended milk and ice cream."
Food & Drink,Beverages,Champagne,"Sparkling wine from France, often used for celebratory toasts."
Food & Drink,Beverages,Coconut Water,"Clear liquid found inside young, green, tropical coconuts."
Food & Drink,Beverages,Hot Cocoa,"Warm, sweet drink made from cocoa powder and milk."
Food & Drink,Beverages,Kombucha,"Fermented, lightly effervescent sweetened black or green tea drink."
Food & Drink,Beverages,Tomato Juice,"Savory juice made from pressed tomatoes, used in cocktails."
Food & Drink,Beverages,Ginger Ale,Carbonated soft drink flavored with the pungent ginger root.
Food & Drink,Beverages,Iced Coffee,Chilled coffee beverage served over ice with milk or syrup.
Food & Drink,Beverages,Smoothie,Thick drink made from blended raw fruit and vegetables.
Food & Drink,Beverages,Chai Latte,Spiced black tea mixed with steamed milk and foam.
Food & Drink,Beverages,Sparkling Water,"Water containing dissolved carbon dioxide gas, making it bubbly."
Food & Drink,Beverages,Apple Cider,"Unfiltered, unsweetened beverage made from the pressing of apples."
Food & Drink,Beverages,Eggnog,"Rich, chilled dairy drink made with milk, cream, and eggs."
Food & Drink,Beverages,Peppermint Tea,Caffeine-free herbal infusion made from peppermint plant leaves.
Food & Drink,Beverages,Shirley Temple,Famous non-alcoholic cocktail made with ginger ale and grenadine.
Food & Drink,Beverages,Slushie,"Frozen, flavored icy drink typically served in a cup."
,,,
Food & Drink,Fruits & Vegetables,Avocado,Creamy green fruit often used in salads or as guacamole.
Food & Drink,Fruits & Vegetables,Dragon Fruit,Tropical fruit with vibrant pink skin and speckled white flesh.
Food & Drink,Fruits & Vegetables,Asparagus,"Long, green, spear-like vegetable often grilled or steamed."
Food & Drink,Fruits & Vegetables,Pomegranate,"Fruit containing hundreds of juicy, red, edible seeds called arils."
Food & Drink,Fruits & Vegetables,Broccoli,Edible green plant with a large flowering head and stalk.
Food & Drink,Fruits & Vegetables,Mango,"Sweet, tropical stone fruit with juicy orange-yellow flesh."
Food & Drink,Fruits & Vegetables,Brussels Sprouts,"Small, leafy green buds that look like miniature cabbages."
Food & Drink,Fruits & Vegetables,Kiwi,Small fruit with fuzzy brown skin and bright green interior.
Food & Drink,Fruits & Vegetables,Eggplant,"Large, purple-skinned vegetable commonly used in Mediterranean cooking."
Food & Drink,Fruits & Vegetables,Artichoke,Thistle-like plant where the heart and leaves are eaten.
Food & Drink,Fruits & Vegetables,Blueberries,"Small, round, indigo-colored berries that are sweet and tart."
Food & Drink,Fruits & Vegetables,Kale,Leafy green vegetable known for its high nutritional value.
Food & Drink,Fruits & Vegetables,Pineapple,"Large tropical fruit with a tough, spiky outer shell."
Food & Drink,Fruits & Vegetables,Jalapeño,Medium-sized chili pepper known for its moderate spicy heat.
Food & Drink,Fruits & Vegetables,Watermelon,"Large, refreshing summer fruit with red flesh and seeds."
Food & Drink,Fruits & Vegetables,Garlic,Pungent bulb used globally as a seasoning in cooking.
Food & Drink,Fruits & Vegetables,Pumpkin,"Large, orange squash commonly carved during Halloween festivities."
Food & Drink,Fruits & Vegetables,Starfruit,Tropical fruit that looks like a five-pointed star when sliced.
Food & Drink,Fruits & Vegetables,Spinach,Leafy green plant often eaten raw in salads or cooked.
Food & Drink,Fruits & Vegetables,Fig,"Sweet, teardrop-shaped fruit with a soft, chewy texture."
,,,
Places & Nature,World Landmarks,The Great Wall of China,Massive ancient stone fortification stretching across Northern China.
Places & Nature,World Landmarks,Eiffel Tower,Iconic iron lattice tower located on the Champ de Mars.
Places & Nature,World Landmarks,Machu Picchu,15th-century Inca citadel located in the Andes Mountains.
Places & Nature,World Landmarks,Grand Canyon,Steep-sided canyon carved by the Colorado River in Arizona.
Places & Nature,World Landmarks,Statue of Liberty,Colossal copper statue on Liberty Island in New York Harbor.
Places & Nature,World Landmarks,Colosseum,"Oval amphitheatre in Rome, the largest ever built."
Places & Nature,World Landmarks,Taj Mahal,Ivory-white marble mausoleum on the bank of the Yamuna.
Places & Nature,World Landmarks,Stonehenge,Prehistoric monument in England consisting of a ring of standing stones.
Places & Nature,World Landmarks,Mount Everest,"Earth's highest mountain above sea level, located in the Himalayas."
Places & Nature,World Landmarks,Great Pyramid of Giza,"Oldest and largest of the three pyramids in Giza, Egypt."
Places & Nature,World Landmarks,Sydney Opera House,"Multi-venue performing arts centre in Sydney, Australia."
Places & Nature,World Landmarks,Niagara Falls,Group of three massive waterfalls at the US-Canada border.
Places & Nature,World Landmarks,Mount Fuji,Active stratovolcano and highest mountain peak in Japan.
Places & Nature,World Landmarks,The Louvre,World's largest art museum and a historic monument in Paris.
Places & Nature,World Landmarks,Victoria Falls,Massive waterfall on the Zambezi River in southern Africa.
Places & Nature,World Landmarks,Golden Gate Bridge,Famous orange suspension bridge spanning the San Francisco Bay.
Places & Nature,World Landmarks,Petra,"Historic and archaeological city in southern Jordan, carved into rock."
Places & Nature,World Landmarks,The Parthenon,Former temple on the Athenian Acropolis dedicated to Athena.
Places & Nature,World Landmarks,Big Ben,Nickname for the Great Bell of the clock in London.
Places & Nature,World Landmarks,Amazon Rainforest,Moist broadleaf tropical rainforest covering much of South America.
,,,
Places & Nature,Geography & Habitats,Sahara Desert,"The largest hot desert in the world, covering North Africa."
Places & Nature,Geography & Habitats,Coral Reef,Underwater ecosystem characterized by reef-building corals.
Places & Nature,Geography & Habitats,Salt Flats,Flat expanse of ground covered with salt and other minerals.
Places & Nature,Geography & Habitats,Glacier,Persistent body of dense ice that is constantly moving.
Places & Nature,Geography & Habitats,Volcano,Rupture in the crust of a planetary-mass object.
Places & Nature,Geography & Habitats,Swamp,Forested wetland often found near large lakes or rivers.
Places & Nature,Geography & Habitats,Redwood Forest,Dense woodland featuring some of the world's tallest trees.
Places & Nature,Geography & Habitats,Cave,Natural underground space large enough for a human to enter.
Places & Nature,Geography & Habitats,Island,Any piece of sub-continental land that is surrounded by water.
Places & Nature,Geography & Habitats,Tundra,"Vast, flat, treeless Arctic region where the subsoil is frozen."
Places & Nature,Geography & Habitats,Valley,"Low area between hills or mountains, often with a river."
Places & Nature,Geography & Habitats,Savanna,Grassy plain in tropical and subtropical regions with few trees.
Places & Nature,Geography & Habitats,Fjord,"Long, narrow, deep inlet of the sea between high cliffs."
Places & Nature,Geography & Habitats,Canyon,"Deep gorge, typically one with a river flowing through it."
Places & Nature,Geography & Habitats,Peninsula,Piece of land almost surrounded by water or projecting out.
Places & Nature,Geography & Habitats,Meadow,Field of habitat with vegetation mainly consisting of grasses.
Places & Nature,Geography & Habitats,Oasis,Fertile spot in a desert where water is found.
Places & Nature,Geography & Habitats,Archipelago,Large group or chain of many islands in a sea.
Places & Nature,Geography & Habitats,Waterfall,Point in a river where water flows over a precipice.
Places & Nature,Geography & Habitats,Delta,Landform created by deposition of sediment at a river mouth.
,,,
Places & Nature,Rooms & Buildings,Attic,Space or room just below the roof of a house.
Places & Nature,Rooms & Buildings,Library,Building or room containing collections of books and periodicals.
Places & Nature,Rooms & Buildings,Treehouse,Structure built among the branches of a mature tree.
Places & Nature,Rooms & Buildings,Castle,"Large building, typically of the medieval period, fortified against attack."
Places & Nature,Rooms & Buildings,Greenhouse,Glass building in which plants are grown that need protection.
Places & Nature,Rooms & Buildings,Dungeon,"Strong underground prison cell, especially in a medieval castle."
Places & Nature,Rooms & Buildings,Skyscraper,Very tall continuously habitable building having many floors.
Places & Nature,Rooms & Buildings,Lighthouse,Tower with a bright light to guide ships at sea.
Places & Nature,Rooms & Buildings,Cathedral,"Principal church of a diocese, with which the bishop is associated."
Places & Nature,Rooms & Buildings,Observatory,Room or building with a telescope for observing the stars.
Places & Nature,Rooms & Buildings,Barn,Large farm building used for storing grain or housing livestock.
Places & Nature,Rooms & Buildings,Bungalow,"Low house, with a broad front porch, having no upper floor."
Places & Nature,Rooms & Buildings,Cinema,Theater where movies are shown for public entertainment.
Places & Nature,Rooms & Buildings,Museum,Building in which objects of interest are stored and exhibited.
Places & Nature,Rooms & Buildings,Penthouse,Expensive apartment on the top floor of a tall building.
Places & Nature,Rooms & Buildings,Laboratory,Room or building equipped for scientific experiments or research.
Places & Nature,Rooms & Buildings,Windmill,Structure that converts wind power into energy using vanes.
Places & Nature,Rooms & Buildings,Cabin,Small wooden shelter or house in a remote area.
Places & Nature,Rooms & Buildings,Stadium,Large building with tiers of seats for sporting events.
Places & Nature,Rooms & Buildings,Basement,The floor of a building which is partly or entirely underground.
,,,
Places & Nature,Astronomy & Space,The Moon,"Earth's only natural satellite, which reflects light from the sun."
Places & Nature,Astronomy & Space,Mars,"The fourth planet from the Sun, often called the Red Planet."
Places & Nature,Astronomy & Space,Black Hole,Region of spacetime where gravity is so strong nothing escapes.
Places & Nature,Astronomy & Space,Milky Way,The galaxy that contains our own Solar System.
Places & Nature,Astronomy & Space,Supernova,Powerful and luminous stellar explosion of a dying star.
Places & Nature,Astronomy & Space,Space Station,Large spacecraft in orbit where astronauts live and work.
Places & Nature,Astronomy & Space,Saturn’s Rings,Enormous system of ice and dust orbiting a gas giant.
Places & Nature,Astronomy & Space,Comet,"Icy, small Solar System body that displays a visible tail."
Places & Nature,Astronomy & Space,Asteroid Belt,Region between Mars and Jupiter with many irregular rocky bodies.
Places & Nature,Astronomy & Space,Hubble Telescope,Large space telescope that takes high-resolution images of space.
Places & Nature,Astronomy & Space,Solar Flare,Sudden flash of increased brightness on the Sun's surface.
Places & Nature,Astronomy & Space,Nebula,Enormous cloud of dust and gas occupying space between stars.
Places & Nature,Astronomy & Space,Pluto,"Dwarf planet in the Kuiper belt, formerly the ninth planet."
Places & Nature,Astronomy & Space,Shooting Star,Small piece of rock or dust hitting Earth's atmosphere.
Places & Nature,Astronomy & Space,Lunar Rover,Vehicle designed to move across the surface of the Moon.
Places & Nature,Astronomy & Space,Astronaut Helmet,Protective headgear worn by space travelers for breathing and safety.
Places & Nature,Astronomy & Space,Alien Spaceship,Hypothetical craft used by extraterrestrial beings for space travel.
Places & Nature,Astronomy & Space,Solar Eclipse,Event where the Moon passes between the Sun and Earth.
Places & Nature,Astronomy & Space,Satellite,Artificial body placed in orbit round the earth or moon.
Places & Nature,Astronomy & Space,The Big Dipper,Group of seven bright stars in the constellation Ursa Major.
,,,
Places & Nature,U.S. Locations,Hollywood,Neighborhood in Los Angeles famous as the center of film.
Places & Nature,U.S. Locations,Times Square,Major commercial intersection and tourist destination in Midtown Manhattan.
Places & Nature,U.S. Locations,Las Vegas Strip,Stretch of South Las Vegas Boulevard famous for its casinos.
Places & Nature,U.S. Locations,Yellowstone,National park famous for its geysers and grizzly bears.
Places & Nature,U.S. Locations,Disney World,Massive entertainment resort and theme park complex in Florida.
Places & Nature,U.S. Locations,The White House,Official residence and workplace of the President of the United States.
Places & Nature,U.S. Locations,French Quarter,Historic heart of New Orleans known for its nightlife.
Places & Nature,U.S. Locations,Alcatraz,Famous former federal prison located on an island in California.
Places & Nature,U.S. Locations,Key West,Island city in Florida known for its coral reefs.
Places & Nature,U.S. Locations,Mount Rushmore,Massive sculpture carved into South Dakota's Black Hills.
Places & Nature,U.S. Locations,Waikiki Beach,Famous beach and neighborhood on the south shore of Honolulu.
Places & Nature,U.S. Locations,Pike Place Market,Public market overlooking the Elliott Bay waterfront in Seattle.
Places & Nature,U.S. Locations,The Alamo,Historic Spanish mission and fortress compound in San Antonio.
Places & Nature,U.S. Locations,Route 66,Famous historic highway running from Chicago to Santa Monica.
Places & Nature,U.S. Locations,Central Park,Large urban park in the center of New York City.
Places & Nature,U.S. Locations,Harvard University,"Ivy League research university in Cambridge, Massachusetts."
Places & Nature,U.S. Locations,Kennedy Space Center,NASA's primary launch center for human spaceflight in Florida.
Places & Nature,U.S. Locations,Aspen,Colorado ski resort town known for high-end outdoor recreation.
Places & Nature,U.S. Locations,Death Valley,"Desert valley in Eastern California, the hottest place on Earth."
Places & Nature,U.S. Locations,Mall of America,"Enormous shopping mall located in Bloomington, Minnesota."
,,,
Objects & Technology,Household Items,Toaster,Kitchen appliance used to brown bread with radiant heat.
Objects & Technology,Household Items,Grandfather Clock,"Tall, pendulum-driven floor clock encased in wood."
Objects & Technology,Household Items,Bean Bag Chair,Large fabric bag filled with small polystyrene beads.
Objects & Technology,Household Items,Rotary Phone,Old-fashioned telephone with a finger-wheel for dialing.
Objects & Technology,Household Items,Blender,Electric kitchen tool used for liquidizing or mixing food.
Objects & Technology,Household Items,Vacuum Cleaner,Device that uses suction to remove dirt from floors.
Objects & Technology,Household Items,Umbrella,Folding canopy used for protection against rain or sun.
Objects & Technology,Household Items,Sewing Machine,Mechanical device used to stitch fabric together.
Objects & Technology,Household Items,Lawnmower,Machine used for cutting grass on a lawn.
Objects & Technology,Household Items,Flashlight,Portable hand-held electric light powered by batteries.
Objects & Technology,Household Items,Mirror,Surface that reflects a clear image of what is before it.
Objects & Technology,Household Items,Ironing Board,Padded flat surface used for pressing clothes.
Objects & Technology,Household Items,Hammock,Sling made of fabric suspended between two points.
Objects & Technology,Household Items,Bookshelf,Piece of furniture with shelves for storing books.
Objects & Technology,Household Items,Teapot,Vessel with a lid and spout used for brewing tea.
Objects & Technology,Household Items,Microscope,Optical instrument used for viewing very small objects.
Objects & Technology,Household Items,Toolbox,Portable container for organizing various hand tools.
Objects & Technology,Household Items,Candle,Block of wax with a wick that provides light.
Objects & Technology,Household Items,Wind Chime,Decorative arrangement of tubes that ring in the wind.
Objects & Technology,Household Items,Refrigerator,Large cooling appliance used for preserving food.
,,,
Objects & Technology,Clothing & Accessories,High Heels,Footwear that raises the wearer's heel above the toes.
